sex,height,shoe_size
woman,5.2,9
woman,5.6,8
woman,5.7,8
woman,5.8,9
man,6.4,13
man,5.4,6
man,5.7,9
man,5.7,9.5
man,5.5,9
man,5.5,8
man,5.9,10
man,5.3,6
man,5.8,9
man,5,2
man,5.4,8
man,6,10
man,5.9,13
man,5.6,4
man,5.7,14
woman,5.5,11
man,5.8,10
woman,5.2,10
woman,5.3,10
woman,5.7,8
man,5.7,11
man,5.8,10
man,5.4,10
man,6.1,10
man,6.1,12
woman,5.7,9
woman,5.6,8
woman,5.3,4
woman,5.9,9
woman,5.5,6
woman,5.4,7
woman,6.2,13
woman,6.2,12
woman,5.2,6
woman,5.4,8
woman,5.3,6
woman,5.4,6
woman,5.3,4
woman,5.5,6
woman,5.6,4
woman,5.9,8
woman,5.6,6
woman,5.5,6
woman,5.3,4
woman,5.4,9
woman,5.8,7
woman,5.5,6
man,5.8,8
woman,5.5,9
woman,5.7,9
woman,6,8
woman,5.6,10
woman,5.7,8
woman,5.5,6
woman,5.5,7
woman,5.7,6
woman,5.5,8
woman,5.6,6
woman,5.7,7
woman,5.2,5
woman,5.4,7
woman,5.1,7
woman,5.6,9
woman,5.7,9
woman,5.5,9
woman,5.3,5
woman,5.7,8
woman,5.4,6
woman,5.8,9
woman,5.2,5
woman,5.6,10
woman,5.6,7
woman,5,6
woman,5.1,8
woman,5.5,8
woman,5.5,5
woman,5.4,8
woman,5.6,6
woman,5.4,6
woman,5.2,7
woman,5.5,6
woman,5.6,9
woman,5.8,11
woman,5.7,7
woman,5.6,6
woman,5.1,5
woman,5.8,9
woman,5.2,6
woman,5.5,8
woman,5.7,7
woman,5.5,7
man,6,11
man,6,15
man,5.9,11
man,5.9,9
man,5.7,10
man,5.5,9
man,5.2,8
man,6,11
man,5.6,9
man,6.2,13
man,6.3,15
man,6.2,14
man,6.7,18.5
man,5.5,10
man,6,11
man,5.7,9
man,5.7,9
man,5.9,11
man,5.8,9
man,5.7,11
man,6,10
man,5.7,9
man,5.9,9
man,5.7,9
man,5.5,9
man,5.9,11
man,5.6,10
man,6,13
man,5.9,11
man,6.1,12
man,6.2,14
man,6.2,13
man,6.1,12
man,5.5,9
man,6,10
man,5.9,10
man,5.9,9
man,5.8,12
man,5.9,7
man,6.4,15
man,5.9,10
man,5.8,12
man,6.3,14
man,6.2,12
man,6.1,10
man,5.6,10
man,5.7,12
man,5.6,11
man,5.6,12
man,6,11
man,5.7,10
man,6.4,14
man,6.1,14
man,5.7,8
man,6.2,12
man,6.4,16
man,5.9,9
man,5.9,11
man,6,16
man,5.8,8
man,6,12
man,5.8,10
man,5.9,9
man,6.1,10
man,6.3,17
man,6,14
man,5.8,8
man,6.1,12
man,6.1,9
man,6,12
man,5.8,7
man,5.7,8
man,5.7,6
woman,5.5,7
woman,5.8,6
woman,5.6,7
woman,5.7,6
woman,5.6,8
woman,5.8,8
woman,5.4,6
woman,5.8,7
woman,5.6,9
woman,5.6,8
woman,5.7,6
woman,5.9,6
woman,5.7,8
woman,5.5,6
woman,5.5,7
woman,5.5,8
woman,5.6,4
woman,5.7,8
woman,5.5,4
woman,5.4,3.5
woman,5.7,6
woman,5.8,7
woman,5.6,5
woman,5.7,8
woman,5.4,7
woman,5.5,6
woman,5.4,5
woman,5.7,8
woman,5.2,4
woman,5.3,7
woman,5.7,6
woman,5.6,8
woman,5.8,8
woman,5.8,8
woman,5.2,4
woman,5.6,7
woman,5.5,5
woman,5.7,7
woman,5.5,6
woman,5.4,7
woman,5.7,7
woman,5.6,6
woman,5.5,7
woman,6.2,10
